City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,Acari,PE,-15.4311,-74.6158,73.76,72,100,3.36,overcast clouds
301,Quatre Cocos,MU,-20.2078,57.7625,81.0,89,75,1.14,light rain
302,Katete,UG,-0.7818,29.7544,61.65,80,94,2.37,overcast clouds
303,Lorengau,PG,-2.0226,147.2712,76.82,88,100,12.37,moderate rain
304,Maneadero,MX,31.7167,-116.5667,59.0,82,13,1.99,few clouds
305,Haines Junction,CA,60.7522,-137.5108,23.0,58,98,1.14,overcast clouds
306,Puerto Ayora,EC,-0.7393,-90.3518,75.36,91,63,3.13,broken clouds
307,Mildura,AU,-34.2,142.15,68.0,34,47,5.75,scattered clouds
308,Akureyri,IS,65.6835,-18.0878,30.2,93,0,4.61,clear sky
309,Yungay,PE,-9.1383,-77.7436,56.35,91,99,1.41,light rain
310,Cozumel,MX,20.5083,-86.9458,78.8,89,20,8.05,few clouds
311,Cananeia,BR,-25.0147,-47.9267,72.28,68,3,5.66,clear sky
312,Vila Do Maio,CV,15.1333,-23.2167,75.2,46,0,16.11,clear sky
313,Villanueva,HN,15.3167,-88.0,80.6,78,20,2.37,few clouds
314,Naron,ES,43.5167,-8.1528,42.8,65,0,13.98,clear sky
315,Olinda,BR,-8.0089,-34.8553,71.6,88,40,3.44,scattered clouds
316,Pontianak,ID,-0.0333,109.3333,87.8,79,75,8.05,broken clouds
317,Cap Malheureux,MU,-19.9842,57.6142,81.0,81,56,5.99,light rain
318,Honiara,SB,-9.4333,159.95,81.86,80,93,3.67,overcast clouds
319,Hadejia,NG,12.4498,10.0444,78.66,10,15,8.41,few clouds
320,Belvedere Marittimo,IT,39.6179,15.8617,46.0,91,97,1.01,overcast clouds
321,Ancud,CL,-41.8697,-73.8203,59.0,100,90,12.66,light intensity drizzle
322,Black River,JM,18.0264,-77.8487,78.8,73,20,9.22,few clouds
323,Kruisfontein,ZA,-34.0033,24.7314,57.0,94,100,1.01,overcast clouds
324,Oildale,US,35.4197,-119.0195,71.6,28,1,4.61,clear sky
325,Longuenesse,FR,50.734,2.2352,36.0,93,22,1.99,few clouds
326,Tondano,ID,1.3038,124.9112,89.6,62,20,10.36,few clouds
327,Mbaiki,CF,3.8678,17.9892,69.42,93,100,2.75,overcast clouds
328,Taoudenni,ML,22.6783,-3.9836,81.52,14,5,8.48,clear sky
329,Staryy Nadym,RU,65.6118,72.6842,32.59,87,22,20.87,few clouds
330,San Cristobal,VE,7.7669,-72.225,65.79,92,98,2.44,overcast clouds
331,Provideniya,RU,64.3833,-173.3,10.26,86,100,23.98,overcast clouds
332,Kenai,US,60.5544,-151.2583,35.6,80,90,12.66,overcast clouds
333,Vanimo,PG,-2.6741,141.3028,81.81,83,100,5.64,overcast clouds
334,Tuatapere,NZ,-46.1333,167.6833,62.01,84,91,3.0,overcast clouds
335,Neiafu,TO,-18.65,-173.9833,82.4,69,40,5.75,light rain
336,Ugoofaaru,MV,5.6667,73.0,82.9,69,24,1.99,few clouds
337,Elliot,ZA,-31.3333,27.85,58.73,64,92,4.27,overcast clouds
338,Rockport,US,28.0206,-97.0544,72.0,88,1,14.97,mist
339,Kharabali,RU,47.4196,47.2568,58.08,50,57,18.54,broken clouds
340,Carnduff,CA,49.1667,-101.8009,32.0,94,100,15.01,light snow
341,Pucallpa,PE,-8.3791,-74.5539,71.69,98,82,0.87,broken clouds
342,Sorong,ID,-0.8833,131.25,84.13,68,17,6.98,few clouds
343,Okakarara,NA,-20.5833,17.4333,55.99,48,0,4.59,clear sky
344,Yen Bai,VN,21.7,104.8667,77.92,85,99,1.72,overcast clouds
345,Saint George,US,37.1041,-113.5841,73.4,9,1,3.44,clear sky
